block_number,worker_id,nonces_tested,percentage
1,0,32509,10.402580405684317
1,1,40000,12.799631370616527
1,2,40000,12.799631370616527
1,3,40000,12.799631370616527
1,4,40000,12.799631370616527
1,5,40000,12.799631370616527
1,6,40000,12.799631370616527
1,7,40000,12.799631370616527
2,0,180000,12.282514203362952
2,1,190000,12.964876103549782
2,2,180000,12.282514203362952
2,3,190000,12.964876103549782
2,4,180000,12.282514203362952
2,5,180000,12.282514203362952
2,6,190000,12.964876103549782
2,7,175498,11.975314875898842
3,0,90000,13.468053776442279
3,1,80000,11.971603356837582
3,2,90000,13.468053776442279
3,3,80000,11.971603356837582
3,4,78248,11.709425243322839
3,5,80000,11.971603356837582
3,6,90000,13.468053776442279
3,7,80000,11.971603356837582
4,0,30000,12.766555030235457
4,1,30000,12.766555030235457
4,2,30000,12.766555030235457
4,3,30000,12.766555030235457
4,4,24989,10.634114788351795
4,5,30000,12.766555030235457
4,6,30000,12.766555030235457
4,7,30000,12.766555030235457
5,0,260000,12.59322010091044
5,1,260000,12.59322010091044
5,2,260000,12.59322010091044
5,3,254603,12.331813912892695
5,4,260000,12.59322010091044
5,5,260000,12.59322010091044
5,6,260000,12.59322010091044
5,7,250000,12.108865481644655
6,0,310000,12.757968174219522
6,1,300000,12.346420813760826
6,2,300000,12.346420813760826
6,3,310000,12.757968174219522
6,4,300000,12.346420813760826
6,5,300000,12.346420813760826
6,6,300000,12.346420813760826
6,7,309854,12.751959582756825
7,0,6002,7.897160601036815
7,1,10000,13.15754848556617
7,2,10000,13.15754848556617
7,3,10000,13.15754848556617
7,4,10000,13.15754848556617
7,5,10000,13.15754848556617
7,6,10000,13.15754848556617
7,7,10000,13.15754848556617
8,0,260000,12.348874708792161
8,1,270000,12.82383142836109
8,2,270000,12.82383142836109
8,3,260000,12.348874708792161
8,4,260000,12.348874708792161
8,5,265455,12.607963599317012
8,6,260000,12.348874708792161
8,7,260000,12.348874708792161
9,0,22783,9.787226730474305
9,1,30000,12.88753903850367
9,2,30000,12.88753903850367
9,3,30000,12.88753903850367
9,4,30000,12.88753903850367
9,5,30000,12.88753903850367
9,6,30000,12.88753903850367
9,7,30000,12.88753903850367
10,0,17943,11.360427495995392
10,1,20000,12.66279607200066
10,2,20000,12.66279607200066
10,3,20000,12.66279607200066
10,4,20000,12.66279607200066
10,5,20000,12.66279607200066
10,6,20000,12.66279607200066
10,7,20000,12.66279607200066
11,0,620000,12.490702485166283
11,1,630000,12.692165428475416
11,2,630000,12.692165428475416
11,3,620000,12.490702485166283
11,4,613692,12.363619660526883
11,5,620000,12.490702485166283
11,6,620000,12.490702485166283
11,7,610000,12.28923954185715
12,0,30000,14.962668142983256
12,1,20000,9.97511209532217
12,2,30000,14.962668142983256
12,3,30000,14.962668142983256
12,4,20499,10.22399114210046
12,5,30000,14.962668142983256
12,6,20000,9.97511209532217
12,7,20000,9.97511209532217
13,0,480000,12.411304422923472
13,1,490000,12.66987326506771
13,2,490000,12.66987326506771
13,3,490000,12.66987326506771
13,4,479733,12.404400634838222
13,5,477709,12.352066301188227
13,6,480000,12.411304422923472
13,7,480000,12.411304422923472
14,0,140000,12.541611274550204
14,1,140000,12.541611274550204
14,2,140000,12.541611274550204
14,3,140000,12.541611274550204
14,4,140000,12.541611274550204
14,5,140000,12.541611274550204
14,6,140000,12.541611274550204
14,7,136284,12.20872107814857
15,0,140000,13.19468857236297
15,1,130000,12.252210817194186
15,2,130000,12.252210817194186
15,3,131033,12.349568769303122
15,4,130000,12.252210817194186
15,5,130000,12.252210817194186
15,6,140000,13.19468857236297
15,7,130000,12.252210817194186
16,0,40000,12.698211139505721
16,1,40000,12.698211139505721
16,2,40000,12.698211139505721
16,3,40000,12.698211139505721
16,4,40000,12.698211139505721
16,5,35005,11.112522023459945
16,6,40000,12.698211139505721
16,7,40000,12.698211139505721
17,0,60000,12.61895998738104
17,1,60000,12.61895998738104
17,2,60000,12.61895998738104
17,3,60000,12.61895998738104
17,4,60000,12.61895998738104
17,5,60000,12.61895998738104
17,6,60000,12.61895998738104
17,7,55475,11.667280088332719
18,0,60000,12.688906089406032
18,1,60000,12.688906089406032
18,2,60000,12.688906089406032
18,3,60000,12.688906089406032
18,4,52854,11.177657374157773
18,5,60000,12.688906089406032
18,6,60000,12.688906089406032
18,7,60000,12.688906089406032
19,0,190000,12.71969081778909
19,1,190000,12.71969081778909
19,2,190000,12.71969081778909
19,3,180000,12.050233406326507
19,4,183747,12.301079098401537
19,5,180000,12.050233406326507
19,6,190000,12.71969081778909
19,7,190000,12.71969081778909
20,0,100000,12.609609026462525
20,1,100000,12.609609026462525
20,2,100000,12.609609026462525
20,3,100000,12.609609026462525
20,4,100000,12.609609026462525
20,5,100000,12.609609026462525
20,6,93046,11.732736814762323
20,7,100000,12.609609026462525
